,client_id,client_district_id,client_age,client_gender,disp_id,account_id,type,alltime_sum_trans_amount_by_account_id,alltime_mean_trans_amount_by_account_id,alltime_total_nbr_trans,mean_trans_amount_of_Household,mean_trans_amount_of_Insurance_payment,mean_trans_amount_of_Interest_credited,mean_trans_amount_of_Loan_payment,mean_trans_amount_of_Old-age_pension,mean_trans_amount_of_Payment_for_statement,mean_trans_amount_of_Sanction_interest_if_negative_balance,mean_trans_amount_of_Unknown_Transaction_Type,nbr_trans_Household,nbr_trans_Insurance_payment,nbr_trans_Interest_credited,nbr_trans_Loan_payment,nbr_trans_Old-age_pension,nbr_trans_Payment_for_statement,nbr_trans_Sanction_interest_if_negative_balance,nbr_trans_Unknown_Transaction_Type,mean_trans_amount_of_Credit,mean_trans_amount_of_Unknown_Transaction_Type,mean_trans_amount_of_Withdrawal,nbr_trans_Credit,nbr_trans_Unknown_Transaction_Type,nbr_trans_Withdrawal,1yr_sum_trans_amount_by_account_id,1yr_mean_trans_amount_by_account_id,1yr_total_nbr_trans,3yr_sum_trans_amount_by_account_id,3yr_mean_trans_amount_by_account_id,3yr_total_nbr_trans,trans_ratio_98_97,trans_ratio_97_96,sum_order_amount_by_account_id,mean_order_amount_by_account_id,total_nbr_orders,mean_order_amount_of_Household,mean_order_amount_of_Insurance_payment,mean_order_amount_of_Leasing,mean_order_amount_of_Loan_payment,mean_order_amount_of_Unknown_Order_Type,nbr_orders_Household,nbr_orders_Insurance_payment,nbr_orders_Leasing,nbr_orders_Loan_payment,nbr_orders_Unknown_Order_Type,account_district_id,statement_freq,account_date_opened,loan_id,loan_amount,loan_duration,monthly_loan_payment,loan_status,num_days_since_grant,card_id,card_type,card_issued_date,district_id,district_name,region,total_inhabitants,num_munipalities_less_499,500_to_1999,2000_to_9999,greater_than_10000,num_cities,ratio_urban,avg_salary,unemp_rate_95,unemp_rate_96,enterpreneurs_per_1000,num_crimes95,num_crimes96
0,1,18,28.071232876712326,F,1,1,OWNER,375174.49999999977,1569.7677824267776,239.0,2452.0,,68.12222222222222,,,14.600000000000012,,2398.640350877193,40.0,,45.0,,,40.0,,114.0,1905.1029411764707,,1320.1021897810228,102.0,,137.0,92159.90000000002,1486.4500000000005,62.0,294219.4,1471.0970000000002,200.0,0.9558737656136076,1.1909601742200304,2452.0,2452.0,1.0,2452.0,,,,,1.0,,,,,18,MONTHLY,812,,,,,,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910
1,420,18,20.819178082191783,M,420,343,OWNER,494115.6999999994,1563.657278481011,316.0,2505.0,,79.25178571428572,,,14.600000000000017,,2285.93670886076,51.0,,56.0,,,51.0,,158.0,1941.5613636363641,,1292.5521739130447,132.0,,184.0,110873.50000000004,1518.8150684931509,73.0,314056.69999999995,1495.5080952380952,210.0,1.104476140004144,0.9253442424086,2505.0,2505.0,1.0,2505.0,,,,,1.0,,,,,18,MONTHLY,480,,,,,,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910
2,499,18,63.528767123287665,F,499,413,OWNER,279052.0000000001,2022.1159420289864,138.0,2107.0,,69.91111111111114,,5041.0,14.600000000000005,,2362.121212121212,25.0,,27.0,,29.0,24.0,,33.0,2601.343859649123,,1614.511111111112,57.0,,81.0,123379.20000000006,2164.5473684210533,57.0,279052.0000000001,2022.1159420289864,138.0,1.0401222729069912,,2107.0,2107.0,1.0,2107.0,,,,,1.0,,,,,18,MONTHLY,1285,,,,,,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910
3,519,18,18.731506849315068,M,519,431,OWNER,1020242.1999999995,6457.229113924049,158.0,6482.0,,165.54230769230767,,,14.6,,9772.327777777778,21.0,,26.0,,,21.0,,90.0,9795.529629629631,,4723.880769230767,54.0,,104.0,481092.2,5866.978048780487,82.0,1020242.1999999995,6457.229113924049,158.0,0.9849182838273022,,7197.0,3598.5,2.0,6482.0,,,,715.0,1.0,,,,1.0,18,MONTHLY,1404,,,,,,,95.0,junior,2038.0,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910
4,682,18,19.21095890410959,M,682,568,OWNER,1163173.6999999995,5435.391121495326,214.0,,,136.2822222222222,,,14.600000000000012,,8964.782945736433,,,45.0,,,40.0,,129.0,6605.265591397849,,4536.231404958674,93.0,,121.0,296905.3,5208.864912280702,57.0,944116.6999999994,5245.092777777774,180.0,0.9377957802154208,1.445281821626334,1408.0,1408.0,1.0,,,1408.0,,,,,1.0,,,18,MONTHLY,816,,,,,,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910
5,1140,18,52.88767123287671,M,1140,945,OWNER,579657.1999999995,6300.621739130428,92.0,8215.0,,205.45714285714286,,,14.599999999999998,,10924.955555555556,10.0,,28.0,,,9.0,,45.0,6593.930434782607,5738.75,6032.890476190479,46.0,4.0,42.0,354632.3999999999,6447.8618181818165,55.0,579657.1999999995,6300.621739130428,92.0,3.5786174438129685,,8215.0,8215.0,1.0,8215.0,,,,,1.0,,,,,18,MONTHLY,1323,,,,,,,187.0,classic,1710.0,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910
6,1169,18,57.97534246575343,F,1169,970,OWNER,588349.4999999998,6326.338709677417,93.0,5260.0,,183.31176470588238,,,14.599999999999996,,10037.26923076923,12.0,,17.0,,,12.0,,52.0,8977.143243243243,,4574.914285714287,37.0,,56.0,445651.4,5942.018666666666,75.0,588349.4999999998,6326.338709677417,93.0,3.1230366767322058,,5260.0,5260.0,1.0,5260.0,,,,,1.0,,,,,18,MONTHLY,1661,,,,,,,192.0,classic,1984.0,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910
7,1259,18,32.27945205479452,M,1259,1049,OWNER,102196.4,1481.1072463768114,69.0,1545.0,,116.2,,,14.599999999999998,,2205.225,8.0,,13.0,,,8.0,,40.0,2083.2606060606063,,929.1333333333333,33.0,,36.0,97933.7,1483.8439393939395,66.0,102196.4,1481.1072463768114,69.0,22.97457010814742,,2499.0,1249.5,2.0,1545.0,,,,954.0,1.0,,,,1.0,18,MONTHLY,1798,,,,,,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910
8,1376,18,40.35616438356164,M,1376,1145,OWNER,370060.99999999977,971.2887139107607,381.0,,,74.05151515151516,,,14.600000000000017,,1434.1850393700788,,,66.0,,,61.0,,254.0,1493.0330827067673,,691.4822580645169,133.0,,248.0,68909.09999999999,943.9602739726026,73.0,209010.70000000016,954.3867579908684,219.0,1.0369989691574932,0.9102072572216766,1947.0,973.5,2.0,478.0,,,,1469.0,1.0,,,,1.0,31,MONTHLY,183,,,,,,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910
9,1377,18,47.47671232876712,F,1377,1145,DISPONENT,370060.99999999977,971.2887139107607,381.0,,,74.05151515151516,,,14.600000000000017,,1434.1850393700788,,,66.0,,,61.0,,254.0,1493.0330827067673,,691.4822580645169,133.0,,248.0,68909.09999999999,943.9602739726026,73.0,209010.70000000016,954.3867579908684,219.0,1.0369989691574932,0.9102072572216766,1947.0,973.5,2.0,478.0,,,,1469.0,1.0,,,,1.0,31,MONTHLY,183,,,,,,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910
10,1382,18,19.12054794520548,F,1382,1149,OWNER,337824.69999999984,3632.523655913977,93.0,,,162.47142857142856,,,14.599999999999998,,6510.509803921568,,,35.0,,,7.0,,51.0,3145.2155172413795,,4440.062857142858,58.0,,35.0,155218.00000000006,4311.611111111112,36.0,315924.69999999984,3549.715730337077,89.0,1.548347839098232,4.577511415525113,,,,,,,,,,,,,,18,MONTHLY,979,,,,,,,228.0,junior,1899.0,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910
11,1410,18,54.94794520547945,M,1410,1171,OWNER,397039.5,7352.583333333332,54.0,7893.0,,140.10833333333335,,,14.599999999999998,,12300.444444444443,8.0,,12.0,,,7.0,,27.0,8327.159259259259,,6378.007407407408,27.0,,27.0,396239.5,7476.2169811320755,53.0,397039.5,7352.583333333332,54.0,495.299375,,7893.0,7893.0,1.0,7893.0,,,,,1.0,,,,,18,MONTHLY,1814,,,,,,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910
12,1411,18,59.446575342465756,F,1411,1171,DISPONENT,397039.5,7352.583333333332,54.0,7893.0,,140.10833333333335,,,14.599999999999998,,12300.444444444443,8.0,,12.0,,,7.0,,27.0,8327.159259259259,,6378.007407407408,27.0,,27.0,396239.5,7476.2169811320755,53.0,397039.5,7352.583333333332,54.0,495.299375,,7893.0,7893.0,1.0,7893.0,,,,,1.0,,,,,18,MONTHLY,1814,,,,,,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910
13,1574,18,19.882191780821923,M,1574,1301,OWNER,475917.49999999953,3578.3270676691686,133.0,,,119.23725490196077,,,14.600000000000007,,8856.849056603774,,,51.0,,,29.0,,53.0,3791.447692307691,,3374.608823529414,65.0,,68.0,63030.49999999999,2173.465517241379,29.0,308883.7,3120.0373737373743,99.0,0.4471913301051809,1.1775849680847512,,,,,,,,,,,,,,18,MONTHLY,622,,,,,,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910
14,1883,18,37.205479452054796,F,1883,1552,OWNER,3153102.4000000027,9356.386943620184,337.0,5263.0,,255.73999999999992,,,14.600000000000017,,17050.838323353295,55.0,,60.0,,,55.0,,167.0,13325.904132231404,,7132.722222222226,121.0,,216.0,632376.4999999998,9438.455223880594,67.0,1925840.9000000013,9214.549760765558,209.0,0.97421335202545,1.0255355775681003,6284.0,3142.0,2.0,5263.0,,1021.0,,,1.0,,1.0,,,18,MONTHLY,366,,,,,,,297.0,classic,1626.0,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910
15,1978,18,46.64383561643836,F,1978,1632,OWNER,3506504.400000001,15866.535746606336,221.0,,,298.20555555555563,,,30.0,,22991.96710526316,,,36.0,,,33.0,,152.0,16739.720754716982,11750.666666666664,15243.94495412844,106.0,6.0,109.0,909411.8,13179.881159420289,69.0,3506504.400000001,15866.535746606336,221.0,0.8630488994276371,,1977.6,1977.6,1.0,,,1977.6,,,,,1.0,,,18,WEEKLY,1107,,,,,,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910
16,2103,18,54.94520547945206,F,2103,1733,OWNER,1964599.200000001,12202.479503105596,161.0,5808.0,,201.40645161290317,,,14.6,,20864.55681818182,21.0,,31.0,,,21.0,,88.0,15045.706060606062,11813.5,10081.317241379304,66.0,8.0,87.0,650706.7999999998,9569.21764705882,68.0,1964599.200000001,12202.479503105596,161.0,0.5454904706149525,,8934.0,4467.0,2.0,5808.0,,3126.0,,,1.0,,1.0,,,18,MONTHLY,1205,,,,,,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910
17,2139,18,66.86849315068493,F,2139,1765,OWNER,288398.90000000014,2074.812230215828,139.0,2011.0,,67.90384615384616,,5242.0,14.600000000000005,,2399.714285714286,25.0,,26.0,,29.0,24.0,,35.0,2753.2767857142867,,1617.0530120481933,56.0,,83.0,119099.40000000002,1952.4491803278693,61.0,288398.90000000014,2074.812230215828,139.0,0.878702317616705,,2011.0,2011.0,1.0,2011.0,,,,,1.0,,,,,18,MONTHLY,1297,,,,,,,,,,18,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910
