,client_id,client_district_id,client_age,client_gender,disp_id,account_id,type,alltime_sum_trans_amount_by_account_id,alltime_mean_trans_amount_by_account_id,alltime_total_nbr_trans,mean_trans_amount_of_Household,mean_trans_amount_of_Insurance_payment,mean_trans_amount_of_Interest_credited,mean_trans_amount_of_Loan_payment,mean_trans_amount_of_Old-age_pension,mean_trans_amount_of_Payment_for_statement,mean_trans_amount_of_Sanction_interest_if_negative_balance,mean_trans_amount_of_Unknown_Transaction_Type,nbr_trans_Household,nbr_trans_Insurance_payment,nbr_trans_Interest_credited,nbr_trans_Loan_payment,nbr_trans_Old-age_pension,nbr_trans_Payment_for_statement,nbr_trans_Sanction_interest_if_negative_balance,nbr_trans_Unknown_Transaction_Type,mean_trans_amount_of_Credit,mean_trans_amount_of_Unknown_Transaction_Type,mean_trans_amount_of_Withdrawal,nbr_trans_Credit,nbr_trans_Unknown_Transaction_Type,nbr_trans_Withdrawal,1yr_sum_trans_amount_by_account_id,1yr_mean_trans_amount_by_account_id,1yr_total_nbr_trans,3yr_sum_trans_amount_by_account_id,3yr_mean_trans_amount_by_account_id,3yr_total_nbr_trans,trans_ratio_98_97,trans_ratio_97_96,sum_order_amount_by_account_id,mean_order_amount_by_account_id,total_nbr_orders,mean_order_amount_of_Household,mean_order_amount_of_Insurance_payment,mean_order_amount_of_Leasing,mean_order_amount_of_Loan_payment,mean_order_amount_of_Unknown_Order_Type,nbr_orders_Household,nbr_orders_Insurance_payment,nbr_orders_Leasing,nbr_orders_Loan_payment,nbr_orders_Unknown_Order_Type,account_district_id,statement_freq,account_date_opened,loan_id,loan_amount,loan_duration,monthly_loan_payment,loan_status,num_days_since_grant,card_id,card_type,card_issued_date,district_id,district_name,region,total_inhabitants,num_munipalities_less_499,500_to999,2000_to_9999,greater_than0000,num_cities,ratio_urban,avg_salary,unemp_rate_95,unemp_rate_96,enterpreneurs_per000,num_crimes95,num_crimes96
285,1940,1,75.9945205479452,F,1940,1600,DISPONENT,340737.3999999999,2887.605084745762,118.0,3234.0,,76.88333333333334,,6757.0,14.6,,3715.909090909091,23.0,,24.0,,27.0,22.0,,22.0,3555.4653846153838,,2361.4121212121217,52.0,,66.0,147619.80000000008,2733.7000000000007,54.0,340737.3999999999,2887.605084745762,118.0,0.8570259151704593,,3234.0,3234.0,1.0,3234.0,,,,,1.0,,,,,1,MONTHLY,1351,,,,,,,,,,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
284,1939,1,73.43287671232876,M,1939,1600,OWNER,340737.3999999999,2887.605084745762,118.0,3234.0,,76.88333333333334,,6757.0,14.6,,3715.909090909091,23.0,,24.0,,27.0,22.0,,22.0,3555.4653846153838,,2361.4121212121217,52.0,,66.0,147619.80000000008,2733.7000000000007,54.0,340737.3999999999,2887.605084745762,118.0,0.8570259151704593,,3234.0,3234.0,1.0,3234.0,,,,,1.0,,,,,1,MONTHLY,1351,,,,,,,,,,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
1828,31,68,36.91780821917809,M,31,25,OWNER,2958545.100000004,10797.609854014612,274.0,6817.0,164.0,221.43214285714288,2523.2000000000007,,14.600000000000005,,17748.051948051947,27.0,27.0,28.0,12.0,,26.0,,154.0,18224.050000000007,10719.75,7491.385869565216,82.0,8.0,184.0,959437.1999999995,9225.357692307687,104.0,2958545.100000004,10797.609854014612,274.0,0.8565939328109625,,10614.2,2653.55,4.0,6817.0,164.0,,2523.2,1110.0,1.0,1.0,,1.0,1.0,68,MONTHLY,1304,4962.0,30276.0,12.0,2523.0,A,1802.0,,,,68,Frydek - Mistek,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887
4335,3786,13,78.53150684931506,M,3786,3130,OWNER,343940.99999999994,2123.0925925925917,162.0,1546.0,,204.04,,6359.0,14.600000000000007,,1969.7619047619046,29.0,,30.0,,33.0,28.0,,42.0,3382.315625,,1300.742857142858,64.0,,98.0,120991.10000000002,2016.5183333333332,60.0,343940.99999999994,2123.0925925925917,162.0,0.8554144292870197,,1546.0,1546.0,1.0,1546.0,,,,,1.0,,,,,13,MONTHLY,1174,,,,,,,,,,13,Rakovnik,central Bohemia,53921,61,22,1,1,2,41.3,8598,2.77,3.26,123,1597,1875
1905,9202,68,36.91780821917809,M,8894,7424,OWNER,2961775.200000003,10809.398540145996,274.0,6817.0,164.0,204.65,2523.2000000000007,,14.600000000000005,,17772.077922077922,27.0,27.0,28.0,12.0,,26.0,,154.0,18218.31951219512,10719.75,7511.49456521739,82.0,8.0,184.0,959457.0999999995,9225.549038461535,104.0,2961775.200000003,10809.398540145996,274.0,0.8553909244447866,,10614.2,2653.55,4.0,6817.0,164.0,,2523.2,1110.0,1.0,1.0,,1.0,1.0,68,MONTHLY,1304,6502.0,30276.0,12.0,2523.0,A,1802.0,,,,68,Frydek - Mistek,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887
3066,4968,50,60.64383561643836,M,4968,4127,OWNER,576619.2999999996,4060.6992957746443,142.0,11105.0,69.0,70.08571428571429,4200.2,,14.600000000000005,17.910000000000004,8621.05357142857,7.0,22.0,21.0,3.0,,23.0,10.0,56.0,7797.345945945947,10029.0,2529.7107843137273,37.0,3.0,102.0,175942.00000000003,2932.366666666668,60.0,576619.2999999996,4060.6992957746443,142.0,0.8552307307925254,,15595.2,3898.8,4.0,11105.0,69.0,,4200.2,221.0,1.0,1.0,,1.0,1.0,50,MONTHLY,1218,5817.0,100800.0,24.0,4200.0,D,1687.0,,,,50,Svitavy,east Bohemia,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134
1005,3586,60,55.76438356164383,M,3586,2970,OWNER,1480626.6000000015,4968.545637583898,298.0,,,127.67142857142862,,,14.600000000000017,,9078.555555555555,,,70.0,,,66.0,,162.0,5331.489510489511,,4633.700645161285,143.0,,155.0,230401.90000000005,5358.183720930234,43.0,759508.8999999996,5131.816891891889,148.0,0.8533735571198141,1.0769850903565796,,,,,,,,,,,,,,60,MONTHLY,21,,,,,,,,,,60,Prostejov,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252
1006,3587,60,59.12602739726027,F,3587,2970,DISPONENT,1480626.6000000015,4968.545637583898,298.0,,,127.67142857142862,,,14.600000000000017,,9078.555555555555,,,70.0,,,66.0,,162.0,5331.489510489511,,4633.700645161285,143.0,,155.0,230401.90000000005,5358.183720930234,43.0,759508.8999999996,5131.816891891889,148.0,0.8533735571198141,1.0769850903565796,,,,,,,,,,,,,,60,MONTHLY,21,,,,,,,,,,60,Prostejov,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252
4000,1909,35,54.832876712328776,F,1909,1576,OWNER,1336397.2999999998,8969.109395973153,149.0,11816.0,,136.90357142857138,,,30.0,,14893.411764705883,27.0,,28.0,,,26.0,,68.0,10074.691044776117,16645.25,7625.794871794872,67.0,4.0,78.0,390446.1,6731.829310344827,58.0,1336397.2999999998,8969.109395973153,149.0,0.8532470367698622,,11816.0,11816.0,1.0,11816.0,,,,,1.0,,,,,35,WEEKLY,1313,,,,,,,,,,35,Jablonec n. Nisou,north Bohemia,88768,10,18,5,1,7,80.5,8867,1.02,1.21,130,3384,3620
3859,4718,2,66.15342465753425,M,4718,3912,OWNER,671428.6999999994,1963.2418128654956,342.0,1177.0,,119.82321428571426,,6241.0,14.600000000000017,,1987.8984375,51.0,,56.0,,56.0,51.0,,128.0,3158.4610619469045,,1373.4611353711784,113.0,,229.0,138090.10000000006,1917.918055555556,72.0,448322.29999999976,1957.7393013100425,229.0,0.8530841728876466,1.0785299569445133,2728.0,1364.0,2.0,1364.0,,,,,2.0,,,,,2,MONTHLY,488,,,,,,,,,,2,Benesov,central Bohemia,88884,80,26,6,2,5,46.7,8507,1.67,1.85,132,2159,2674
