;account_id;sum_order_amount_by_account_id;mean_order_amount_by_account_id;total_nbr_orders;mean_order_amount_of Household;mean_order_amount_of Insurance payment;mean_order_amount_of Leasing;mean_order_amount_of Loan payment;mean_order_amount_of Unknown_Order_Type;nbr_orders Household;nbr_orders Insurance payment;nbr_orders Leasing;nbr_orders Loan payment;nbr_orders Unknown_Order_Type
0;1;2452.0;2452.0;1;2452.0;;;;;1.0;;;;
1;2;10638.7;5319.35;2;7266.0;;;3372.7;;1.0;;;1.0;
2;3;5001.0;1667.0;3;1135.0;3539.0;;;327.0;1.0;1.0;;;1.0
3;4;3363.0;1681.5;2;1681.5;;;;;2.0;;;;
4;5;2668.0;2668.0;1;2668.0;;;;;1.0;;;;
5;6;3954.0;3954.0;1;3954.0;;;;;1.0;;;;
6;7;4880.0;4880.0;1;4880.0;;;;;1.0;;;;
7;8;9324.0;4662.0;2;2612.0;;;;6712.0;1.0;;;;1.0
8;10;8377.0;4188.5;2;7033.0;;1344.0;;;1.0;;1.0;;
9;11;2132.0;2132.0;1;2132.0;;;;;1.0;;;;
10;12;3592.0;1796.0;2;1796.0;;;;;2.0;;;;
11;13;2444.0;2444.0;1;2444.0;;;;;1.0;;;;
12;14;3629.0;3629.0;1;3629.0;;;;;1.0;;;;
13;15;3072.0;3072.0;1;3072.0;;;;;1.0;;;;
14;17;4032.0;4032.0;1;4032.0;;;;;1.0;;;;
15;19;2523.2;2523.2;1;;;;2523.2;;;;;1.0;
16;20;2003.0;2003.0;1;2003.0;;;;;1.0;;;;
17;21;6276.0;6276.0;1;6276.0;;;;;1.0;;;;
18;22;6352.0;6352.0;1;6352.0;;;;;1.0;;;;
19;23;5807.0;5807.0;1;5807.0;;;;;1.0;;;;
20;24;7862.0;3931.0;2;221.0;;;;7641.0;1.0;;;;1.0
21;25;10614.2;2653.55;4;6817.0;164.0;;2523.2;1110.0;1.0;1.0;;1.0;1.0
22;26;10387.0;10387.0;1;10387.0;;;;;1.0;;;;
23;27;4054.0;4054.0;1;4054.0;;;;;1.0;;;;
24;29;7708.0;2569.3333333333335;3;6871.0;8.0;;;829.0;1.0;1.0;;;1.0
25;30;2480.2;2480.2;1;;;2480.2;;;;;1.0;;
26;31;10202.0;10202.0;1;10202.0;;;;;1.0;;;;
27;33;3892.0;3892.0;1;3892.0;;;;;1.0;;;;
28;34;8051.0;2683.6666666666665;3;502.0;;1479.0;;6070.0;1.0;;1.0;;1.0
29;35;2384.0;1192.0;2;1192.0;;;;;2.0;;;;
30;36;4069.0;4069.0;1;4069.0;;;;;1.0;;;;
31;37;10305.5;2576.375;4;2317.0;97.0;;5307.5;2584.0;1.0;1.0;;1.0;1.0
32;38;9666.8;2416.7;4;6901.0;228.0;;2306.8;231.0;1.0;1.0;;1.0;1.0
33;39;3115.0;1557.5;2;1557.5;;;;;2.0;;;;
34;40;4334.0;2167.0;2;33.0;;;;4301.0;1.0;;;;1.0
35;42;6070.0;2023.3333333333333;3;4239.0;1592.0;;;239.0;1.0;1.0;;;1.0
36;43;6589.0;6589.0;1;6589.0;;;;;1.0;;;;
37;44;2344.0;2344.0;1;2344.0;;;;;1.0;;;;
38;47;7264.0;1816.0;4;6940.0;141.0;;;91.5;1.0;1.0;;;2.0
39;48;7297.0;3648.5;2;6268.0;;;;1029.0;1.0;;;;1.0
40;49;3102.0;3102.0;1;3102.0;;;;;1.0;;;;
41;50;7293.0;3646.5;2;269.0;;;;7024.0;1.0;;;;1.0
42;51;4131.0;2065.5;2;2074.0;;;;2057.0;1.0;;;;1.0
43;52;4283.0;2141.5;2;560.0;;;;3723.0;1.0;;;;1.0
44;53;2851.0;2851.0;1;2851.0;;;;;1.0;;;;
45;54;2280.0;2280.0;1;2280.0;;;;;1.0;;;;
46;55;3086.0;3086.0;1;3086.0;;;;;1.0;;;;
47;56;8080.0;8080.0;1;8080.0;;;;;1.0;;;;
48;57;4107.0;4107.0;1;4107.0;;;;;1.0;;;;
49;59;6885.0;3442.5;2;695.0;;;;6190.0;1.0;;;;1.0
50;61;2313.0;1156.5;2;1156.5;;;;;2.0;;;;
51;62;2273.0;2273.0;1;2273.0;;;;;1.0;;;;
52;63;2394.0;1197.0;2;1197.0;;;;;2.0;;;;
53;65;7402.0;2467.3333333333335;3;686.0;3401.0;;;3315.0;1.0;1.0;;;1.0
54;66;4471.3;4471.3;1;;;4471.3;;;;;1.0;;
55;67;13753.0;4584.333333333333;3;6393.0;;;6915.0;445.0;1.0;;;1.0;1.0
56;68;3089.0;772.25;4;1705.0;137.0;;;623.5;1.0;1.0;;;2.0
57;70;4150.0;4150.0;1;4150.0;;;;;1.0;;;;
58;71;4359.0;1089.75;4;968.0;1011.0;;;1190.0;1.0;1.0;;;2.0
59;72;12318.0;4106.0;3;7109.0;;2923.0;;2286.0;1.0;;1.0;;1.0
