;account_id;alltime_sum_trans_amount_by_account_id;alltime_mean_trans_amount_by_account_id;alltime_total_nbr_trans;mean_trans_amount_of Household;mean_trans_amount_of Insurance payment;mean_trans_amount_of Interest credited;mean_trans_amount_of Loan payment;mean_trans_amount_of Old-age pension;mean_trans_amount_of Payment for statement;mean_trans_amount_of Sanction interest if negative balance;mean_trans_amount_of Unknown_Transaction_Type_x;nbr_trans Household;nbr_trans Insurance payment;nbr_trans Interest credited;nbr_trans Loan payment;nbr_trans Old-age pension;nbr_trans Payment for statement;nbr_trans Sanction interest if negative balance;nbr_trans Unknown_Transaction_Type_x;mean_trans_amount_of Credit;mean_trans_amount_of Unknown_Transaction_Type_y;mean_trans_amount_of Withdrawal;nbr_trans Credit;nbr_trans Unknown_Transaction_Type_y;nbr_trans Withdrawal;1yr_sum_trans_amount_by_account_id;1yr_mean_trans_amount_by_account_id;1yr_total_nbr_trans;3yr_sum_trans_amount_by_account_id;3yr_mean_trans_amount_by_account_id;3yr_total_nbr_trans;trans_ratio_98_97;trans_ratio_97_96
0;1;375174.4999999998;1569.7677824267776;239.0;2452.0;;68.12222222222222;;;14.600000000000012;;2398.6403508771928;40.0;;45.0;;;40.0;;114.0;1905.1029411764705;;1320.102189781023;102.0;;137.0;92159.90000000002;1486.4500000000003;62.0;294219.4;1471.0970000000002;200.0;0.9558737656136075;1.1909601742200304
1;2;3151479.3000000017;6593.0529288702965;478.0;7266.0;;153.10714285714286;3372.6999999999985;;14.600000000000016;;10183.377952755905;65.0;;70.0;24.0;;65.0;;254.0;10506.93092105263;10354.380952380952;4383.5534426229515;152.0;21.0;305.0;547711.8999999999;6443.669411764705;85.0;1673500.200000001;6588.583464566933;254.0;0.9734137805524791;1.0733587758009395
2;3;295021.80000000005;2521.5538461538467;117.0;1135.0;3539.0;115.0;;;14.599999999999996;;3866.6666666666665;13.0;13.0;18.0;;;13.0;;60.0;3762.1521739130435;;1717.7859154929583;46.0;;71.0;205491.90000000005;2233.6076086956527;92.0;295021.80000000005;2521.5538461538467;117.0;2.2952320956462597;
3;4;350971.3999999999;1886.9430107526878;186.0;2078.0;;91.46666666666664;;5553.0;14.600000000000007;;1542.8125;29.0;;30.0;;34.0;29.0;;64.0;2959.169230769231;;1310.9537190082651;65.0;;121.0;121717.30000000003;1764.0188405797105;69.0;350971.3999999999;1886.9430107526878;186.0;0.8672041095500015;
4;5;166881.40000000008;1986.6833333333343;84.0;2668.0;;104.13333333333334;;5017.0;14.599999999999996;;1474.5454545454545;14.0;;15.0;;19.0;14.0;;22.0;2785.2857142857147;;1416.2530612244898;35.0;;49.0;122540.70000000004;1856.6772727272732;66.0;166881.40000000008;1986.6833333333343;84.0;2.7636167223341097;
5;6;647567.0999999994;2632.3865853658513;246.0;3954.0;;140.39361702127658;;6669.0;14.600000000000012;;2078.909090909091;47.0;;47.0;;51.0;46.0;;55.0;3511.287878787878;;2040.473469387755;99.0;;147.0;162456.80000000005;2663.2262295081973;61.0;476813.19999999966;2577.3686486486467;185.0;1.0755487584866807;1.0079988308066437
6;7;1192039.9;9169.537692307691;130.0;4880.0;;259.716;;;14.6;;16733.153846153848;20.0;;25.0;;;20.0;;65.0;12358.194117647057;;7111.0379746835415;51.0;;79.0;589179.8999999999;8416.855714285713;70.0;1192039.9;9169.537692307691;130.0;1.0495681339388687;
7;8;1712906.1000000008;6743.724803149609;254.0;2612.0;;196.86410256410258;;;14.600000000000009;;11050.082191780823;35.0;;39.0;;;34.0;;146.0;10628.115476190475;;4824.378823529409;84.0;;170.0;534325.8999999998;6286.187058823527;85.0;1607427.1000000006;6587.81598360656;244.0;1.0083610840932002;5.023705192502771
8;9;696434.0999999994;1929.1803324099706;361.0;;;107.0267605633803;;;14.600000000000016;;3084.560538116592;;;71.0;;;67.0;;223.0;1968.065027322404;;1889.2033707865166;183.0;;178.0;116849.40000000001;2086.5964285714285;56.0;383861.39999999985;2109.1285714285705;182.0;0.7139564695114277;1.2623678257200792
9;10;1040605.0999999996;6670.54551282051;156.0;7033.0;;197.40357142857147;;;14.600000000000003;;10646.134146341463;23.0;;28.0;;;23.0;;82.0;9321.191525423728;;5058.296907216493;59.0;;97.0;453566.59999999986;6213.241095890409;73.0;1040605.0999999996;6670.54551282051;156.0;0.9724205428247081;
10;11;258100.1000000001;1387.6349462365597;186.0;;;104.55641025641027;;;14.600000000000009;;2243.592920353982;;;39.0;;;34.0;;113.0;1780.2999999999997;;1097.7233644859816;79.0;;107.0;101381.90000000002;1513.1626865671644;67.0;247276.30000000008;1381.4318435754194;179.0;1.2983381122584232;7.214277795229034
11;12;216751.30000000005;2044.8235849056607;106.0;297.0;;87.34999999999998;;5938.0;14.599999999999996;;2414.342105263158;15.0;;18.0;;20.0;15.0;;38.0;3113.648717948719;;1422.6716417910452;39.0;;67.0;144129.20000000004;2001.794444444445;72.0;216751.30000000005;2044.8235849056607;106.0;1.9846465469877634;
12;13;208214.0000000001;2776.186666666668;75.0;2444.0;;62.24285714285715;;6803.0;14.599999999999996;;3106.521739130435;11.0;;14.0;;16.0;11.0;;23.0;3571.5935483870967;;2215.7863636363636;31.0;;44.0;174466.50000000003;2643.4318181818185;66.0;208214.0000000001;2776.186666666668;75.0;5.169760723016521;
13;14;785857.9999999994;6337.564516129028;124.0;3629.0;;165.63999999999996;;;14.6;;12014.322033898305;20.0;;25.0;;;20.0;;59.0;7934.346153846152;;5184.333333333332;52.0;;72.0;388334.70000000007;5883.859090909092;66.0;785857.9999999994;6337.564516129028;124.0;1.0417550031561047;
14;15;2329572.9000000022;6382.391506849322;365.0;3072.0;;159.36666666666667;;;14.600000000000016;;11553.71891891892;59.0;;63.0;;;58.0;;185.0;9213.163565891471;;4835.062711864406;129.0;;236.0;435979.79999999993;6228.282857142856;70.0;1336957.4999999998;6132.832568807338;218.0;0.982363947555558;0.9933265948713083
15;16;661403.8999999998;11023.398333333329;60.0;;;102.66000000000001;;;14.599999999999998;;18849.085714285713;;;15.0;;;10.0;;35.0;10850.559375000003;;11220.92857142857;32.0;;28.0;549397.7999999999;10987.955999999998;50.0;661403.8999999998;11023.398333333329;60.0;4.905070348847071;
16;17;413049.2;7649.059259259259;54.0;4032.0;;248.2117647058824;;;14.6;;11786.79411764706;2.0;;17.0;;;1.0;;34.0;7741.32121212121;10253.5;7214.663157894737;33.0;2.0;19.0;234061.8;6687.48;35.0;413049.2;7649.059259259259;54.0;1.3076998716110744;
17;18;3728698.3;11367.98262195122;328.0;;;200.00499999999994;;;30.0;;17441.539906103288;;;60.0;;;55.0;;213.0;12212.360897435894;11415.5;10355.681818181818;156.0;40.0;132.0;582509.9;10043.274137931036;58.0;2299313.1999999993;11271.143137254898;204.0;0.47273624257441377;6.442145288595207
18;19;1575515.9;5199.722442244224;303.0;15031.25;;62.084444444444436;2523.2000000000003;;14.600000000000012;7.2125;8544.808;32.0;;90.0;8.0;;40.0;8.0;125.0;5218.385526315789;10731.333333333334;5068.427702702698;152.0;3.0;148.0;395523.60000000003;4883.007407407408;81.0;1255468.2000000002;5042.040963855423;249.0;0.9603546520154349;1.28684442975219
19;20;154748.1000000001;1334.035344827587;116.0;2003.0;;65.84583333333333;;;14.600000000000003;;2328.0;24.0;;24.0;;;23.0;;45.0;1626.7981132075472;;1087.742857142857;53.0;;63.0;74304.59999999999;1326.867857142857;56.0;154748.1000000001;1334.035344827587;116.0;1.0939453944511106;
20;21;298432.3;4813.424193548387;62.0;6276.0;;139.53846153846152;;;14.599999999999998;;7500.546875;9.0;;13.0;;;8.0;;32.0;5171.514705882353;;4378.600000000001;34.0;;28.0;283160.7;4799.333898305085;59.0;298432.3;4813.424193548387;62.0;18.541652479111555;
21;22;2099466.500000002;6772.472580645167;310.0;6352.0;;174.95263157894738;;;14.600000000000014;;11801.55033557047;52.0;;57.0;;;52.0;;149.0;9047.485593220337;;5374.287499999996;118.0;;192.0;464209.0999999999;7033.471212121211;66.0;1347674.2999999998;6606.24656862745;204.0;1.0240704790226296;1.0346193893961204
22;23;3195860.0000000033;8637.45945945947;370.0;5807.0;;227.7134328358209;;;14.600000000000016;;15752.312849162012;62.0;;67.0;;;62.0;;179.0;11967.01313868613;;6679.739055793996;137.0;;233.0;573751.3999999999;8563.453731343283;67.0;1743519.5000000007;8463.686893203887;206.0;0.9926544614151179;1.0280396554947129
23;24;688130.5999999999;4915.218571428571;140.0;221.0;;115.56400000000002;;;14.6;;9193.358108108108;21.0;;25.0;;;20.0;;74.0;6824.165384615384;;3787.2045454545455;52.0;;88.0;320535.0;4856.590909090909;66.0;688130.5999999999;4915.218571428571;140.0;0.9221361879513984;
24;25;2958545.100000004;10797.609854014612;274.0;6817.0;164.0;221.43214285714288;2523.2000000000003;;14.600000000000005;;17748.051948051947;27.0;27.0;28.0;12.0;;26.0;;154.0;18224.050000000003;10719.75;7491.385869565216;82.0;8.0;184.0;959437.1999999996;9225.357692307689;104.0;2958545.100000004;10797.609854014612;274.0;0.8565939328109625;
25;26;3471037.400000004;9888.995441595453;351.0;10387.0;;147.1292307692308;;;14.600000000000016;;17092.63855421687;60.0;;65.0;;;60.0;;166.0;13243.642105263163;12902.642857142857;7495.0784313725535;133.0;14.0;204.0;631706.3999999998;9718.559999999998;65.0;1920319.7000000016;9847.793333333342;195.0;0.9835035569710887;0.9729131739556403
26;27;1204954.1000000003;3423.1650568181826;352.0;4054.0;;98.90952380952383;;;14.600000000000016;;5564.994219653179;58.0;;63.0;;;58.0;;173.0;4582.039259259261;;2702.2064516129003;135.0;;217.0;217263.90000000002;3242.7447761194035;67.0;689819.2999999997;3284.853809523808;210.0;0.9197087429602864;0.9899828808384825
27;29;1885934.7000000016;5138.7866485013665;367.0;6871.0;8.0;133.0673469387755;;;14.600000000000012;;8519.394594594594;44.0;45.0;49.0;;;44.0;;185.0;9617.432999999999;;3461.391011235952;100.0;;267.0;480495.5999999999;4953.562886597937;97.0;1394296.8;4892.26947368421;285.0;1.0763840958929243;0.9619779860301348
28;30;4561803.200000001;16234.175088967975;281.0;;;186.98636363636368;;;14.600000000000012;;23468.80412371134;;;44.0;;;43.0;;194.0;17715.226153846157;13089.8;15244.48702290077;130.0;20.0;131.0;1135821.9000000001;16703.26323529412;68.0;3386077.200000002;16201.326315789483;209.0;0.8103790878566558;1.1921087906536048
29;31;5807677.499999994;15163.64882506526;383.0;10202.0;;210.82000000000005;;;14.600000000000014;;23776.41628959276;53.0;;55.0;;;54.0;;221.0;17746.878658536592;13653.392857142857;13166.986387434572;164.0;28.0;191.0;743209.8999999998;13271.605357142853;56.0;3212776.100000003;14215.823451327446;226.0;0.6042735195617935;0.7268212533002999
30;32;1378941.7000000007;7660.787222222226;180.0;;;214.81749999999997;;;14.60000000000001;;13046.076190476191;;;40.0;;;35.0;;105.0;8955.25243902439;;6577.663265306118;82.0;;98.0;409219.9999999998;7179.298245614032;57.0;1264348.8000000005;7570.950898203596;167.0;0.9639213759375804;3.7047382516717877
31;33;3231984.800000003;9395.3046511628;344.0;3892.0;;310.22499999999997;;;14.600000000000016;;18405.19135802469;59.0;;64.0;;;59.0;;162.0;12764.850381679387;;7322.95492957747;131.0;;213.0;584767.4999999999;9136.992187499998;64.0;1838789.400000001;9333.95634517767;197.0;0.8683620368082416;1.1042996415448518
32;34;4342630.499999997;10617.678484107573;409.0;502.0;;228.3253968253967;;;30.0;;18684.304347826088;58.0;;63.0;;;58.0;;230.0;17294.271653543303;15274.823529411764;7119.192452830189;127.0;17.0;265.0;835306.6000000002;10312.42716049383;81.0;2536474.9999999995;10395.389344262294;244.0;1.0141534787083484;1.0395854477315705
33;35;697962.0999999989;1841.5886543535591;379.0;1022.0;;78.06721311475408;;5446.0;14.600000000000016;;2090.848484848485;61.0;;61.0;;65.0;60.0;;132.0;2829.5440944881893;;1343.6904761904757;127.0;;252.0;124866.70000000001;1891.919696969697;66.0;392566.69999999984;1843.036150234741;213.0;0.926417355111307;0.9571233290134744
