account_id,account_district_id,statement_freq,account_date_opened
576,55,MONTHLY,0
3818,74,MONTHLY,0
704,55,MONTHLY,0
2378,16,MONTHLY,0
2632,24,MONTHLY,1
1972,77,MONTHLY,1
1539,1,TRANSACTION,2
793,47,MONTHLY,2
2484,74,MONTHLY,2
1695,76,MONTHLY,2
1726,48,MONTHLY,2
2881,70,MONTHLY,3
2357,19,MONTHLY,3
2177,62,MONTHLY,3
485,6,TRANSACTION,3
652,21,MONTHLY,4
9635,70,MONTHLY,4
1844,44,MONTHLY,5
1926,37,MONTHLY,5
2393,10,MONTHLY,6
3510,41,MONTHLY,6
1276,36,MONTHLY,6
1637,1,MONTHLY,7
3871,26,MONTHLY,7
192,55,MONTHLY,7
764,1,MONTHLY,7
2087,7,WEEKLY,7
2122,68,MONTHLY,7
3592,54,MONTHLY,7
3487,41,MONTHLY,7
435,38,MONTHLY,7
1730,1,MONTHLY,8
1493,41,MONTHLY,8
374,38,MONTHLY,8
2925,1,MONTHLY,9
866,9,MONTHLY,9
1628,60,MONTHLY,9
2379,44,MONTHLY,9
1979,26,MONTHLY,10
346,37,MONTHLY,10
1338,74,MONTHLY,10
1909,14,MONTHLY,11
2099,3,WEEKLY,11
3760,44,MONTHLY,12
5270,44,MONTHLY,12
1699,53,MONTHLY,13
3909,1,MONTHLY,13
2926,50,MONTHLY,13
1731,33,MONTHLY,13
11265,15,MONTHLY,13
2519,4,MONTHLY,14
10364,55,MONTHLY,16
1481,15,MONTHLY,16
401,32,MONTHLY,17
4034,1,MONTHLY,17
2330,54,MONTHLY,18
1806,40,MONTHLY,18
3834,54,MONTHLY,18
1222,66,MONTHLY,19
212,27,WEEKLY,19
456,49,MONTHLY,20
459,47,MONTHLY,20
772,45,MONTHLY,20
1019,52,MONTHLY,20
11295,74,MONTHLY,20
2970,60,MONTHLY,21
2676,73,MONTHLY,21
1536,41,WEEKLY,21
1179,74,MONTHLY,22
280,25,MONTHLY,22
2425,41,MONTHLY,22
9307,68,MONTHLY,23
4055,23,MONTHLY,23
5065,66,MONTHLY,23
3704,75,MONTHLY,23
477,1,MONTHLY,24
5891,54,MONTHLY,24
1000,77,MONTHLY,24
1750,1,MONTHLY,25
2023,68,MONTHLY,25
6473,12,MONTHLY,25
1649,46,MONTHLY,25
2670,13,MONTHLY,26
1127,27,MONTHLY,26
163,30,MONTHLY,26
2566,48,MONTHLY,26
9,70,MONTHLY,26
1144,59,MONTHLY,27
2902,32,MONTHLY,27
4296,63,MONTHLY,27
443,64,MONTHLY,27
3693,61,MONTHLY,28
2070,72,MONTHLY,28
1843,12,MONTHLY,29
2714,1,MONTHLY,29
4078,40,MONTHLY,29
1675,36,MONTHLY,31
5868,44,MONTHLY,32
1805,1,MONTHLY,32
2434,17,MONTHLY,32
3007,16,MONTHLY,32
2574,68,MONTHLY,32
862,64,WEEKLY,32
1132,1,WEEKLY,33
4484,54,MONTHLY,33
943,1,MONTHLY,33
3514,7,MONTHLY,33
3983,67,MONTHLY,34
9265,1,MONTHLY,34
465,32,MONTHLY,34
982,54,MONTHLY,35
411,70,MONTHLY,35
890,14,MONTHLY,35
627,63,MONTHLY,35
2429,61,MONTHLY,36
3960,64,MONTHLY,36
2256,48,MONTHLY,36
8051,1,WEEKLY,37
2647,73,MONTHLY,38
2241,6,MONTHLY,38
5622,70,MONTHLY,38
2884,1,MONTHLY,38
1830,10,MONTHLY,38
7753,74,MONTHLY,38
244,24,MONTHLY,38
1477,1,MONTHLY,38
4240,50,MONTHLY,38
