card_id,disp_id,card_type,card_issued_date
1005,9285,classic,310
104,588,classic,383
747,4915,classic,400
70,439,classic,403
577,3687,classic,410
377,2429,classic,426
721,4680,junior,459
437,2762,classic,516
188,1146,classic,534
13,87,classic,544
732,4763,classic,566
181,1066,classic,595
384,2475,junior,622
309,1946,classic,626
478,3084,classic,646
563,3589,classic,658
369,2363,classic,676
376,2428,classic,678
483,3115,classic,692
174,1039,junior,702
658,4251,classic,723
763,5138,junior,728
778,5275,classic,731
1039,9837,classic,736
477,3082,junior,745
168,1018,classic,753
314,1999,junior,756
468,3023,classic,759
208,1246,gold,768
766,5200,classic,771
464,2984,classic,781
497,3184,classic,791
166,999,classic,793
15,114,classic,793
503,3225,classic,796
1038,9787,junior,818
737,4791,classic,832
418,2623,classic,833
759,5117,junior,837
223,1353,classic,837
5,51,junior,843
159,946,classic,850
1223,13231,junior,851
662,4293,classic,858
779,5323,junior,870
1040,9890,junior,877
545,3458,classic,879
467,3019,classic,885
1247,13660,classic,893
652,4211,classic,896
559,3573,classic,897
719,4663,classic,904
397,2513,classic,904
107,593,classic,907
661,4270,classic,913
484,3116,classic,914
501,3197,classic,919
422,2650,junior,921
705,4555,classic,922
410,2569,classic,930
136,778,classic,938
592,3782,junior,948
262,1647,junior,965
18,128,classic,966
3,41,gold,975
98,537,classic,978
167,1011,classic,987
97,531,junior,991
699,4532,classic,998
342,2157,classic,999
713,4627,classic,1002
118,652,classic,1024
783,5433,junior,1026
1103,11189,classic,1037
504,3230,junior,1039
261,1629,gold,1042
296,1876,gold,1046
113,629,junior,1049
92,508,classic,1053
1225,13268,classic,1055
393,2498,junior,1066
695,4507,classic,1078
666,4328,junior,1088
462,2978,classic,1093
85,489,classic,1094
337,2141,classic,1095
771,5233,classic,1102
379,2431,classic,1106
106,592,classic,1108
606,3883,classic,1116
427,2688,gold,1119
202,1228,classic,1129
814,5911,classic,1140
1064,10328,classic,1142
14,112,classic,1142
423,2657,classic,1144
989,9119,classic,1146
364,2329,classic,1154
267,1691,junior,1163
621,3970,junior,1173
1139,11836,junior,1180
725,4715,junior,1184
150,859,classic,1184
302,1900,classic,1185
372,2395,classic,1185
499,3187,classic,1188
229,1384,classic,1190
289,1831,junior,1193
1100,11101,junior,1195
37,238,classic,1205
286,1812,gold,1206
157,907,classic,1209
216,1310,junior,1209
977,8968,classic,1223
183,1080,classic,1223
945,8342,junior,1224
44,268,junior,1232
600,3829,classic,1235
127,714,classic,1238
764,5159,classic,1244
204,1239,junior,1245
1134,11742,classic,1246
312,1971,classic,1254
313,1980,classic,1263
641,4116,classic,1264
731,4751,classic,1269
84,487,classic,1272
265,1680,classic,1274
1176,12502,gold,1279
1233,13382,classic,1282
407,2555,classic,1287
320,2045,classic,1287
1187,12635,gold,1293
121,666,junior,1298
1055,10171,classic,1300
303,1912,classic,1308
651,4201,junior,1309
736,4789,classic,1310
24,153,junior,1312
587,3763,junior,1312
119,655,classic,1315
670,4343,classic,1315
227,1380,classic,1317
1164,12269,classic,1319
1043,9974,junior,1321
278,1779,classic,1322
103,584,junior,1324
673,4353,junior,1338
38,242,classic,1338
470,3036,classic,1340
890,7422,classic,1346
514,3267,classic,1348
741,4832,classic,1349
882,7195,classic,1349
12,83,junior,1349
152,876,classic,1354
163,984,classic,1356
708,4568,junior,1362
1087,10887,classic,1374
854,6753,classic,1375
601,3830,classic,1376
99,548,gold,1377
547,3477,classic,1379
40,255,classic,1381
220,1333,classic,1381
390,2490,classic,1382
776,5263,classic,1387
197,1202,junior,1389
516,3279,classic,1393
381,2440,classic,1395
1010,9413,classic,1395
813,5873,junior,1396
272,1754,junior,1396
772,5243,classic,1398
528,3356,classic,1399
1014,9452,classic,1401
87,493,classic,1401
88,496,classic,1403
441,2785,classic,1404
562,3583,classic,1406
690,4479,classic,1406
374,2423,classic,1407
57,347,classic,1408
722,4684,classic,1413
300,1890,classic,1419
117,649,junior,1422
541,3427,junior,1425
294,1861,classic,1433
10,77,classic,1436
710,4588,junior,1439
408,2560,classic,1439
363,2324,junior,1440
697,4518,classic,1440
433,2724,classic,1441
642,4137,classic,1442
243,1478,classic,1442
162,967,junior,1452
594,3794,junior,1456
609,3893,classic,1458
1111,11288,classic,1460
786,5478,classic,1460
1118,11393,classic,1462
175,1040,classic,1463
565,3601,gold,1466
714,4638,classic,1469
137,786,junior,1470
22,138,classic,1471
325,2102,classic,1472
194,1182,classic,1473
668,4340,classic,1474
706,4559,gold,1476
850,6644,classic,1476
298,1885,classic,1477
105,590,classic,1477
1036,9735,classic,1477
292,1842,gold,1478
112,626,junior,1479
678,4405,gold,1480
1093,11011,classic,1480
681,4426,classic,1482
582,3733,classic,1482
729,4740,junior,1482
54,334,classic,1484
258,1607,classic,1486
534,3387,classic,1489
667,4333,classic,1491
195,1194,classic,1494
199,1213,classic,1498
490,3136,gold,1498
347,2184,classic,1502
210,1253,classic,1507
293,1850,classic,1508
189,1157,classic,1510
324,2074,classic,1510
578,3689,junior,1512
266,1690,classic,1523
568,3615,classic,1524
171,1027,classic,1524
679,4416,classic,1525
841,6468,classic,1525
513,3260,classic,1534
647,4171,junior,1540
665,4318,classic,1543
400,2529,classic,1556
617,3944,gold,1559
709,4587,junior,1561
387,2481,classic,1568
226,1378,classic,1568
350,2226,classic,1570
539,3415,classic,1573
583,3735,classic,1574
576,3671,classic,1580
232,1396,classic,1581
730,4749,classic,1582
616,3943,classic,1585
564,3590,classic,1586
82,474,classic,1587
1173,12442,classic,1588
426,2686,classic,1589
791,5521,classic,1592
572,3636,junior,1596
375,2425,junior,1597
69,438,classic,1597
607,3885,classic,1597
155,900,junior,1597
275,1762,classic,1600
847,6610,classic,1600
399,2527,classic,1602
305,1914,classic,1603
430,2713,classic,1606
349,2214,classic,1606
256,1583,classic,1606
50,309,classic,1608
939,8217,junior,1609
110,608,classic,1611
184,1089,gold,1614
90,503,classic,1615
597,3813,junior,1617
471,3037,classic,1620
494,3173,classic,1621
211,1271,classic,1621
353,2259,classic,1622
213,1289,gold,1622
1009,9409,gold,1625
297,1883,classic,1626
801,5684,classic,1626
748,4923,classic,1627
133,742,classic,1627
316,2013,classic,1628
145,819,classic,1628
270,1736,junior,1628
1178,12542,classic,1630
222,1345,classic,1630
241,1461,classic,1631
280,1793,classic,1633
675,4376,classic,1634
108,597,classic,1636
1196,12805,classic,1638
287,1819,junior,1639
443,2808,classic,1640
1138,11825,classic,1640
733,4764,junior,1641
311,1954,classic,1642
120,662,classic,1644
122,667,junior,1644
476,3079,classic,1647
781,5366,classic,1648
588,3765,classic,1649
403,2538,junior,1653
139,797,classic,1655
553,3522,classic,1655
625,3987,classic,1658
413,2592,junior,1661
591,3779,classic,1664
694,4504,classic,1665
512,3259,classic,1665
1095,11023,gold,1669
1059,10235,classic,1670
