loan_id,account_id,loan_amount,loan_duration,monthly_loan_payment,loan_status,num_days_since_grant
5314,1787,96396,12,8033.0,B,185
5316,1801,165960,36,4610.0,A,191
6863,9188,127080,60,2118.0,A,208
5325,1843,105804,36,2939.0,A,214
7240,11013,274740,60,4579.0,A,248
6687,8261,87840,24,3660.0,A,255
7284,11265,52788,12,4399.0,A,257
6111,5428,174744,24,7281.0,B,266
7235,10973,154416,48,3217.0,A,285
5997,4894,117024,24,4876.0,A,307
7121,10364,21924,36,609.0,A,313
6077,5270,79608,24,3317.0,A,325
6228,6034,464520,60,7742.0,B,334
6356,6701,95400,36,2650.0,A,341
5523,2705,93888,36,2608.0,A,341
6456,7123,47016,12,3918.0,A,342
7104,10320,259740,60,4329.0,A,346
6820,9034,38148,12,3179.0,A,349
6876,9236,86616,12,7218.0,A,354
7097,10266,75624,24,3151.0,B,356
4959,2,80952,24,3373.0,A,369
6499,7401,80952,24,3373.0,A,369
5479,2486,24516,12,2043.0,A,374
5170,1071,253200,60,4220.0,C,384
6721,8475,21072,24,878.0,A,385
7259,11111,108144,36,3004.0,A,395
5285,1603,78936,12,6578.0,A,401
5189,1166,149040,48,3105.0,A,402
6650,8073,49320,12,4110.0,B,412
7226,10940,197748,36,5493.0,A,418
6087,5313,300660,60,5011.0,C,422
7262,11135,182628,36,5073.0,A,424
5519,2694,91632,12,7636.0,A,431
6577,7753,51696,24,2154.0,A,434
6509,7445,55368,24,2307.0,A,438
6520,7485,91200,24,3800.0,A,439
6699,8330,7656,24,319.0,A,453
6336,6555,212400,36,5900.0,A,454
7055,10079,167100,60,2785.0,C,460
6103,5385,149340,60,2489.0,C,461
6202,5891,65184,12,5432.0,A,472
7066,10131,215388,36,5983.0,B,486
6696,8321,89040,60,1484.0,C,493
6072,5256,193968,36,5388.0,A,494
5130,813,24312,12,2026.0,A,495
5568,2933,272520,60,4542.0,C,501
6678,8173,80340,12,6695.0,A,504
6998,9833,97632,12,8136.0,A,505
6580,7769,196080,48,4085.0,A,506
6316,6473,76908,12,6409.0,B,510
6512,7454,63312,48,1319.0,A,510
6407,6930,25944,24,1081.0,A,510
5002,173,104808,12,8734.0,A,515
6647,8051,208320,48,4340.0,A,516
7137,10439,151560,24,6315.0,A,518
6903,9337,52128,24,2172.0,A,519
5918,4576,300204,36,8339.0,A,519
6642,8027,77640,12,6470.0,A,520
6210,5927,87216,48,1817.0,B,521
6279,6273,87360,24,3640.0,A,522
7249,11065,69360,48,1445.0,A,527
6736,8558,288360,60,4806.0,C,529
6112,5442,174744,24,7281.0,B,532
5319,1811,239460,60,3991.0,C,538
6596,7844,91584,24,3816.0,A,540
5837,4260,244560,60,4076.0,C,544
5657,3354,4980,12,415.0,A,550
5533,2762,111384,24,4641.0,A,550
6232,6051,276660,36,7685.0,B,553
6888,9265,39576,12,3298.0,A,556
6066,5228,173808,24,7242.0,A,556
5549,2824,50460,60,841.0,C,561
5060,426,252060,60,4201.0,D,564
6004,4937,143904,24,5996.0,A,568
5126,790,208128,48,4336.0,B,569
7220,10911,131292,36,3647.0,A,573
6668,8129,74736,36,2076.0,A,575
5395,2176,299088,36,8308.0,B,575
6836,9093,189300,60,3155.0,C,579
6064,5215,14628,12,1219.0,A,580
6919,9403,120888,36,3358.0,A,581
6841,9104,172080,48,3585.0,A,583
6038,5120,323472,48,6739.0,A,586
6729,8519,74688,12,6224.0,A,587
7198,10788,45768,12,3814.0,A,599
6686,8260,224604,36,6239.0,A,601
5836,4259,79632,24,3318.0,A,603
7061,10105,121896,24,5079.0,A,603
5595,3050,82896,12,6908.0,A,609
5723,3674,23628,12,1969.0,A,617
6120,5481,209184,48,4358.0,A,618
6895,9307,41904,12,3492.0,A,626
5882,4427,87816,12,7318.0,A,633
5754,3834,23052,12,1921.0,A,635
6594,7824,189696,24,7904.0,B,635
6738,8566,230220,36,6395.0,B,636
6624,7965,71460,12,5955.0,A,637
6216,5952,141240,24,5885.0,A,637
6229,6040,11736,24,489.0,A,639
5887,4448,192744,36,5354.0,A,640
6808,8982,227880,36,6330.0,A,649
6297,6363,17508,12,1459.0,A,662
5161,1012,98184,24,4091.0,A,665
5390,2167,170256,24,7094.0,A,667
6150,5622,83016,12,6918.0,A,670
6223,5991,61056,48,1272.0,A,671
5032,290,123696,48,2577.0,A,671
6253,6148,59760,24,2490.0,A,672
6460,7133,48672,36,1352.0,A,674
6645,8041,140400,36,3900.0,A,674
5176,1106,192552,24,8023.0,B,680
5269,1527,164052,36,4557.0,B,687
5351,1978,205200,36,5700.0,A,702
5861,4337,51408,24,2142.0,A,706
5450,2345,199680,60,3328.0,C,709
7142,10451,482940,60,8049.0,D,717
6306,6425,36684,12,3057.0,A,718
6272,6226,398640,60,6644.0,C,718
5044,344,100980,60,1683.0,C,719
5576,2962,31248,12,2604.0,A,719
7192,10738,115992,36,3222.0,A,719
5739,3747,76380,12,6365.0,A,731
6526,7523,288468,36,8013.0,A,732
5624,3166,177744,48,3703.0,D,732
6244,6118,270648,36,7518.0,B,737
5131,816,48624,24,2026.0,A,737
6960,9640,76416,24,3184.0,A,740
6358,6715,137880,60,2298.0,D,743
5418,2245,347952,48,7249.0,C,745
6598,7857,68112,12,5676.0,A,747
5464,2419,95808,12,7984.0,A,759
6591,7819,20832,48,434.0,C,762
5724,3678,316140,60,5269.0,D,765
6315,6472,43164,12,3597.0,A,766
5876,4413,221280,48,4610.0,C,768
6986,9750,151728,48,3161.0,D,771
6294,6353,79920,60,1332.0,C,772
5132,817,538500,60,8975.0,C,777
5877,4414,97224,24,4051.0,A,783
6227,6030,28248,24,1177.0,A,792
7241,11021,168984,24,7041.0,B,792
6737,8564,76680,24,3195.0,A,799
7004,9869,331560,60,5526.0,C,803
6169,5700,103680,60,1728.0,D,804
5208,1247,99696,48,2077.0,D,804
6694,8316,134784,24,5616.0,A,807
5599,3064,15420,12,1285.0,A,809
6546,7607,31728,24,1322.0,A,815
5414,2228,185952,48,3874.0,C,817
5453,2361,156672,36,4352.0,A,820
5740,3752,18564,12,1547.0,A,821
5804,4079,158976,48,3312.0,C,824
6745,8625,47304,24,1971.0,A,829
6950,9591,104712,24,4363.0,A,830
6996,9828,126600,24,5275.0,A,832
5352,1993,68400,12,5700.0,B,834
6151,5628,225420,60,3757.0,C,844
5310,1762,248148,36,6893.0,A,847
5045,347,187224,24,7801.0,B,850
6929,9472,36396,12,3033.0,A,857
5151,960,189060,60,3151.0,C,873
5212,1256,71064,36,1974.0,A,878
5138,854,87216,48,1817.0,C,879
5713,3629,158760,60,2646.0,C,879
6704,8377,417060,60,6951.0,C,881
6474,7190,63360,60,1056.0,C,886
6676,8159,29784,24,1241.0,A,893
6965,9656,139536,24,5814.0,A,893
6725,8489,265320,36,7370.0,A,903
7166,10630,198240,24,8260.0,A,904
7138,10440,60000,60,1000.0,C,913
5970,4774,465072,48,9689.0,C,919
6157,5650,98592,24,4108.0,A,920
6153,5632,285600,60,4760.0,C,935
5693,3489,44088,24,1837.0,A,942
5922,4580,20220,12,1685.0,A,946
5959,4727,107640,24,4485.0,A,952
5980,4825,21396,12,1783.0,A,959
6764,8776,33984,48,708.0,C,967
5237,1375,45336,24,1889.0,A,970
6726,8492,85860,60,1431.0,C,975
6933,9493,188688,48,3931.0,C,981
5145,915,309552,48,6449.0,C,988
7008,9897,36168,12,3014.0,A,994
7227,10942,314520,60,5242.0,C,1004
6600,7861,21852,36,607.0,A,1010
6712,8405,266220,60,4437.0,C,1016
7057,10093,231696,36,6436.0,A,1022
7176,10663,260028,36,7223.0,A,1030
7304,11349,419880,60,6998.0,C,1031
6362,6738,37908,12,3159.0,A,1033
5880,4423,73836,36,2051.0,A,1033
6535,7546,41952,12,3496.0,A,1035
5449,2343,99336,24,4139.0,A,1037
6342,6609,60156,36,1671.0,B,1045
5409,2218,182040,60,3034.0,C,1051
6955,9627,244368,48,5091.0,C,1055
6985,9731,113796,36,3161.0,A,1055
5125,789,73056,48,1522.0,C,1056
