,client_id,client_district_id,client_age,client_gender,disp_id,account_id,type,alltime_sum_trans_amount_by_account_id,alltime_mean_trans_amount_by_account_id,alltime_total_nbr_trans,mean_trans_amount_of_Household,mean_trans_amount_of_Insurance_payment,mean_trans_amount_of_Interest_credited,mean_trans_amount_of_Loan_payment,mean_trans_amount_of_Old-age_pension,mean_trans_amount_of_Payment_for_statement,mean_trans_amount_of_Sanction_interest_if_negative_balance,mean_trans_amount_of_Unknown_Transaction_Type,nbr_trans_Household,nbr_trans_Insurance_payment,nbr_trans_Interest_credited,nbr_trans_Loan_payment,nbr_trans_Old-age_pension,nbr_trans_Payment_for_statement,nbr_trans_Sanction_interest_if_negative_balance,nbr_trans_Unknown_Transaction_Type,mean_trans_amount_of_Credit,mean_trans_amount_of_Unknown_Transaction_Type,mean_trans_amount_of_Withdrawal,nbr_trans_Credit,nbr_trans_Unknown_Transaction_Type,nbr_trans_Withdrawal,1yr_sum_trans_amount_by_account_id,1yr_mean_trans_amount_by_account_id,1yr_total_nbr_trans,3yr_sum_trans_amount_by_account_id,3yr_mean_trans_amount_by_account_id,3yr_total_nbr_trans,trans_ratio_98_97,trans_ratio_97_96,sum_order_amount_by_account_id,mean_order_amount_by_account_id,total_nbr_orders,mean_order_amount_of_Household,mean_order_amount_of_Insurance_payment,mean_order_amount_of_Leasing,mean_order_amount_of_Loan_payment,mean_order_amount_of_Unknown_Order_Type,nbr_orders_Household,nbr_orders_Insurance_payment,nbr_orders_Leasing,nbr_orders_Loan_payment,nbr_orders_Unknown_Order_Type,account_district_id,statement_freq,account_date_opened,loan_id,loan_amount,loan_duration,monthly_loan_payment,loan_status,num_days_since_grant,card_id,card_type,card_issued_date,district_id,district_name,region,total_inhabitants,num_munipalities_less_499,500_to999,2000_to_9999,greater_than0000,num_cities,ratio_urban,avg_salary,unemp_rate_95,unemp_rate_96,enterpreneurs_per000,num_crimes95,num_crimes96
1788,929,30,63.73698630136986,M,929,777,OWNER,1255282.1000000006,15889.646835443042,79.0,,,282.975,,,14.599999999999998,,21581.98275862069,,,12.0,,,9.0,,58.0,17916.613513513512,23636.0,13871.497560975607,37.0,1.0,41.0,1254982.1000000006,16089.514102564106,78.0,1255282.1000000006,15889.646835443042,79.0,4183.273666666668,,6412.0,6412.0,1.0,,,,6412.0,,,,,1.0,,30,MONTHLY,1822,,,,,,,,,,30,Sokolov,west Bohemia,94812,15,13,8,2,10,81.8,9650,3.38,3.67,100,2985,2804
1586,4813,43,30.2054794520548,M,4813,3992,OWNER,483396.2,9120.683018867923,53.0,6738.0,,111.08333333333331,,,14.599999999999998,,16463.73076923077,8.0,,12.0,,,7.0,,26.0,10042.692307692309,,8232.822222222223,26.0,,27.0,483196.2,9292.234615384614,52.0,483396.2,9120.683018867923,53.0,2415.981,,6738.0,6738.0,1.0,6738.0,,,,,1.0,,,,,43,MONTHLY,1810,,,,,,,,,,43,Hradec Kralove,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,4085,3891
5101,1019,14,52.063013698630144,F,1019,845,OWNER,579278.9999999999,10344.267857142857,56.0,9651.0,,176.06666666666663,,,14.599999999999998,,17236.41379310345,8.0,,12.0,,,7.0,,29.0,13050.752,,8161.619354838711,25.0,,31.0,578978.9999999999,10526.890909090907,55.0,579278.9999999999,10344.267857142857,56.0,1929.93,,9651.0,9651.0,1.0,9651.0,,,,,1.0,,,,,14,MONTHLY,1821,,,,,,,169.0,classic,2047.0,14,Ceske Budejovice,south Bohemia,177686,69,27,10,1,9,74.8,10045,1.42,1.71,135,6604,6295
4963,1594,56,59.2986301369863,M,1594,1318,OWNER,378125.6,6633.78245614035,57.0,8677.0,2015.0,111.32,5154.0,,14.6,,9814.484848484848,4.0,4.0,10.0,2.0,,4.0,,33.0,7929.276923076923,20453.0,4519.255172413794,26.0,2.0,29.0,377925.6,6748.671428571428,56.0,378125.6,6633.78245614035,57.0,1889.628,,18352.0,3670.4,5.0,8677.0,2015.0,,5154.0,1253.0,1.0,1.0,,1.0,2.0,56,MONTHLY,1816,5226.0,185544.0,36.0,5154.0,C,2109.0,,,,56,Breclav,south Moravia,124605,11,42,14,1,8,46.0,8772,4.69,4.98,126,2854,3158
2894,2487,67,31.290410958904108,F,2487,2049,OWNER,226802.10000000012,3489.263076923077,65.0,4854.0,,101.74166666666667,,,14.599999999999998,,4910.282051282052,7.0,,12.0,,,7.0,,39.0,4784.726923076922,,2625.620512820513,26.0,,39.0,226602.10000000012,3540.657812500001,64.0,226802.10000000012,3489.263076923077,65.0,1133.0105000000005,,5891.0,2945.5,2.0,4854.0,,,,1037.0,1.0,,,,1.0,67,MONTHLY,1813,,,,,,,,,,67,Bruntal,north Moravia,106054,38,25,6,2,6,63.1,8110,5.77,6.55,109,3244,3079
2422,3833,19,63.882191780821934,M,3833,3169,OWNER,464411.5,7144.792307692306,65.0,836.0,,99.52500000000002,,,14.599999999999998,,12011.236842105263,8.0,,12.0,,,7.0,,38.0,9325.51153846154,,5690.979487179488,26.0,,39.0,463911.5,7248.617187499997,64.0,464411.5,7144.792307692306,65.0,927.8229999999996,,7510.0,3755.0,2.0,836.0,,,,6674.0,1.0,,,,1.0,19,MONTHLY,1813,,,,,,,,,,19,Prachatice,south Bohemia,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099
1808,3350,30,48.821917808219176,M,3350,2775,OWNER,830558.1999999998,14077.25762711864,59.0,8691.0,,211.5,,,14.599999999999998,,23699.6875,8.0,,12.0,,,7.0,,32.0,16920.44444444444,13858.666666666664,11452.765517241376,27.0,3.0,29.0,829558.1999999998,14302.727586206896,58.0,830558.1999999998,14077.25762711864,59.0,829.5581999999997,,12146.5,6073.25,2.0,8691.0,,3455.5,,,1.0,,1.0,,,30,MONTHLY,1802,,,,,,,,,,30,Sokolov,west Bohemia,94812,15,13,8,2,10,81.8,9650,3.38,3.67,100,2985,2804
1809,3351,30,56.33424657534246,F,3351,2775,DISPONENT,830558.1999999998,14077.25762711864,59.0,8691.0,,211.5,,,14.599999999999998,,23699.6875,8.0,,12.0,,,7.0,,32.0,16920.44444444444,13858.666666666664,11452.765517241376,27.0,3.0,29.0,829558.1999999998,14302.727586206896,58.0,830558.1999999998,14077.25762711864,59.0,829.5581999999997,,12146.5,6073.25,2.0,8691.0,,3455.5,,,1.0,,1.0,,,30,MONTHLY,1802,,,,,,,,,,30,Sokolov,west Bohemia,94812,15,13,8,2,10,81.8,9650,3.38,3.67,100,2985,2804
4269,1287,65,54.43287671232878,F,1287,1072,OWNER,318882.1,5497.967241379311,58.0,3520.0,,121.24166666666667,,,14.599999999999998,,9327.90322580645,8.0,,12.0,,,7.0,,31.0,6489.282142857142,,4572.740000000002,28.0,,30.0,318482.1,5587.405263157894,57.0,318882.1,5497.967241379311,58.0,796.20525,,3520.0,3520.0,1.0,3520.0,,,,,1.0,,,,,65,MONTHLY,1803,,,,,,,,,,65,Znojmo,south Moravia,114200,101,41,4,1,4,43.7,8403,5.74,5.72,105,2157,2718
4352,161,34,55.273972602739725,F,161,134,OWNER,235735.50000000012,4911.156250000002,48.0,,,152.60833333333338,,,14.599999999999998,,8062.137931034483,,,12.0,,,7.0,,29.0,5208.640740740741,,4528.676190476191,27.0,,21.0,235435.50000000012,5009.265957446811,47.0,235735.50000000012,4911.156250000002,48.0,784.7850000000003,,,,,,,,,,,,,,,34,MONTHLY,1804,,,,,,,26.0,classic,2082.0,34,Chomutov,north Bohemia,125236,28,11,1,4,5,87.7,9675,6.43,7.68,100,5323,5190
2140,4229,36,37.26575342465753,M,4229,3501,OWNER,495417.5999999999,6977.712676056335,71.0,7590.0,,152.03333333333333,,,14.599999999999998,,9785.8,7.0,,12.0,,,7.0,,45.0,9037.6,,5555.409523809525,29.0,,42.0,494717.5999999999,7067.394285714284,70.0,495417.5999999999,6977.712676056335,71.0,706.7394285714282,,17119.0,5706.333333333332,3.0,7590.0,,,7304.0,2225.0,1.0,,,1.0,1.0,36,MONTHLY,1807,,,,,,,,,,36,Liberec,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132
2850,3881,45,51.69041095890412,F,3881,3209,OWNER,415899.29999999993,7296.4789473684195,57.0,5659.0,,105.925,,,14.599999999999998,,12308.466666666667,8.0,,12.0,,,7.0,,30.0,8296.35,,6457.87741935484,26.0,,31.0,415299.29999999993,7416.0589285714295,56.0,415899.29999999993,7296.4789473684195,57.0,692.1654999999997,,5659.0,5659.0,1.0,5659.0,,,,,1.0,,,,,45,MONTHLY,1804,,,,,,,,,,45,Jicin,east Bohemia,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122
2851,3882,45,56.68493150684932,M,3882,3209,DISPONENT,415899.29999999993,7296.4789473684195,57.0,5659.0,,105.925,,,14.599999999999998,,12308.466666666667,8.0,,12.0,,,7.0,,30.0,8296.35,,6457.87741935484,26.0,,31.0,415299.29999999993,7416.0589285714295,56.0,415899.29999999993,7296.4789473684195,57.0,692.1654999999997,,5659.0,5659.0,1.0,5659.0,,,,,1.0,,,,,45,MONTHLY,1804,,,,,,,,,,45,Jicin,east Bohemia,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122
1756,5217,74,58.50136986301371,F,5217,4332,OWNER,658311.2999999998,10791.98852459016,61.0,7885.0,,205.875,,,14.599999999999998,,17958.909090909092,8.0,,12.0,,,8.0,,33.0,12001.01724137931,18628.33333333333,8772.303448275863,29.0,3.0,29.0,657311.2999999998,10955.18833333333,60.0,658311.2999999998,10791.98852459016,61.0,657.3112999999997,,12494.6,6247.3,2.0,7885.0,,4609.6,,,1.0,,1.0,,,74,MONTHLY,1817,,,,,,,,,,74,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
1195,2409,54,34.62191780821918,M,2409,1983,OWNER,522167.5999999999,10656.481632653058,49.0,,,166.11666666666667,,,14.599999999999998,,17335.733333333334,,,12.0,,,7.0,,30.0,11548.669230769228,,9647.921739130436,26.0,,23.0,521367.5999999999,10861.824999999997,48.0,522167.5999999999,10656.481632653058,49.0,651.7094999999998,,,,,,,,,,,,,,,54,MONTHLY,1819,,,,,,,,,,54,Brno - mesto,south Moravia,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721,18696
4640,4774,59,47.41643835616439,M,4774,3958,OWNER,557315.7999999998,11857.7829787234,47.0,,,144.38333333333333,,,14.599999999999998,,19838.60714285714,,,12.0,,,7.0,,28.0,11725.13846153846,,12022.009523809524,26.0,,21.0,556315.7999999998,12093.821739130432,46.0,557315.7999999998,11857.7829787234,47.0,556.3157999999999,,,,,,,,,,,,,,,59,MONTHLY,1822,,,,,,,,,,59,Kromeriz,south Moravia,108871,41,29,7,2,6,62.1,8444,3.24,3.47,106,2595,2305
4641,4775,59,50.47945205479452,F,4775,3958,DISPONENT,557315.7999999998,11857.7829787234,47.0,,,144.38333333333333,,,14.599999999999998,,19838.60714285714,,,12.0,,,7.0,,28.0,11725.13846153846,,12022.009523809524,26.0,,21.0,556315.7999999998,12093.821739130432,46.0,557315.7999999998,11857.7829787234,47.0,556.3157999999999,,,,,,,,,,,,,,,59,MONTHLY,1822,,,,,,,,,,59,Kromeriz,south Moravia,108871,41,29,7,2,6,62.1,8444,3.24,3.47,106,2595,2305
